Loan Applications,Approved Loans,Rejected Loans,Approval Rate,Average Loan Amount,Total Loan Value,Default Rate,Revenue,Interest Rate,Inflation Rate,Unemployment Rate,GDP Growth,Consumer Confidence,Marketing Spend
6294,4560,1734,0.7245323529569798,14987.222964504275,68341736.7181395,0.0921188401166398,3417086.835906975,4.099342830602247,2.1813088858821685,4.93685796215171,1.314746188363649,90.77916750516444,97131.68996559882
6189,4159,2030,0.6721559281665298,15636.364509629682,65031639.99554985,0.0825386114634764,3251581.9997774926,4.027874121770497,2.7253146453908648,4.738033373779466,2.541548949666165,87.9532230739207,98065.70529379803
6437,4401,2036,0.6837422006282708,15371.800077297215,67651292.14018504,0.0956062399570271,3382564.6070092525,4.240420336130091,2.390068862423274,5.507936242629738,1.9541840618989528,93.24516360255524,101436.23364892
6992,4961,2031,0.709625209621456,14964.692833956948,74239841.14926042,0.0812489004052434,3711992.057463021,4.47050210397502,3.2123842807597844,4.791902787983441,2.495126524789385,87.00213312114374,99682.87614433118
6810,4974,1836,0.7304238984934787,15585.849355324171,77524014.69338243,0.087879743871452,3876200.7346691214,4.173567068511455,2.592218709095281,5.088658209120816,1.362228936482253,92.4369345154934,99635.77108661416
6795,4728,2067,0.6958841037427798,13825.728689684962,65368045.2448305,0.0943998007064731,3268402.262241525,4.22739189782089,2.808096108699422,5.280089103576046,1.7602499908184908,89.63889836867416,104532.15113845948
6314,4308,2006,0.6823376241768573,15874.382850186052,68386841.3186015,0.0885934166216203,3419342.0659300755,4.64303725989763,3.223480703815104,5.655838528927868,2.002097479887273,91.93867509968004,103525.11391289571
6372,4701,1671,0.7377838186922059,14480.14311061095,68071152.76298207,0.0920416963864079,3403557.638149104,4.5326474497478415,2.681549800956783,4.983932269660592,2.0187922375058966,94.64131481950923,113119.96494291344
6143,4080,2063,0.6642376291882012,15218.779529298434,62092620.479537606,0.0967039038088405,3104631.0239768806,4.336061486341365,3.186607783450976,5.680209280347391,1.8199738114083024,92.50282541346115,93145.15095803494
5969,3889,2080,0.6516486428739371,14890.165052686929,57907851.88989947,0.097137687765747,2895392.594494974,4.587937547321396,3.5737815863080624,5.437523799366127,2.249139972939,94.49275810126088,112657.53425961232
6395,4517,1878,0.7064598052426445,14852.659262139548,67089461.887084335,0.0934600544287454,3354473.094354217,4.434731847209373,2.757931882827669,5.234048375842216,1.5729518282469623,99.20257645834069,114230.42596248814
6161,4211,1950,0.683576784537983,16130.41339368926,67925170.80082548,0.1032028331248339,3396258.540041274,4.480631875597015,3.348967960808633,5.638213097496476,1.9430482059914824,94.96282279393522,98433.04883795926
